label,Number of vcis,Operation Type,Message size,Number of entities,Number of communicators,Total message rates,Total bandwidth
abt_vci_1comm_Nes,20,PT2PT,65536,5,1,0.0889,5828.7718
abt_vci_Ncomm_Nes,20,PT2PT,65536,5,8,0.4594,30104.1094
proc,20,PT2PT,65536,6,1,0.5912,38745.1826
pth_novci_1comm,20,PT2PT,65536,6,1,0.0466,3054.8465
pth_vciopt_Ncomm,20,PT2PT,65536,6,8,0.5593,36656.314
pth_vciopt_Ncomm_nolock,20,PT2PT,65536,6,8,0.5805,38044.3885
abt_vci_1comm_Nes,20,PT2PT,65536,6,1,0.0964,6316.168
abt_vci_Ncomm_Nes,20,PT2PT,65536,6,8,0.5531,36246.6351
proc,20,PT2PT,65536,7,1,0.6702,43919.7391
pth_novci_1comm,20,PT2PT,65536,7,1,0.0429,2812.104
pth_vciopt_Ncomm,20,PT2PT,65536,7,8,0.676,44301.8237
pth_vciopt_Ncomm_nolock,20,PT2PT,65536,7,8,0.6467,42383.8182
abt_vci_1comm_Nes,20,PT2PT,65536,7,1,0.1343,8801.171
abt_vci_Ncomm_Nes,20,PT2PT,65536,7,8,0.6241,40898.1759
proc,20,PT2PT,65536,8,1,0.7605,49843.2679
pth_novci_1comm,20,PT2PT,65536,8,1,0.0449,2943.3992
pth_vciopt_Ncomm,20,PT2PT,65536,8,8,0.7702,50472.9003
pth_vciopt_Ncomm_nolock,20,PT2PT,65536,8,8,0.7555,49515.3792
abt_vci_1comm_Nes,20,PT2PT,65536,8,1,0.09,5897.3129
abt_vci_Ncomm_Nes,20,PT2PT,65536,8,8,0.6786,44473.1012
proc,20,PT2PT,65536,9,1,0.8698,57002.8804
pth_novci_1comm,20,PT2PT,65536,9,1,0.0442,2894.8657
pth_vciopt_Ncomm,20,PT2PT,65536,9,8,0.3018,19777.866
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,9,1,0.0795,5210.5003
abt_vci_Ncomm_Nes,20,PT2PT,65536,9,8,0.4095,26835.1286
proc,20,PT2PT,65536,10,1,0.9686,63476.2386
pth_novci_1comm,20,PT2PT,65536,10,1,0.0435,2851.7921
pth_vciopt_Ncomm,20,PT2PT,65536,10,8,0.3419,22409.7226
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,10,1,0.1482,9709.5797
abt_vci_Ncomm_Nes,20,PT2PT,65536,10,8,0.4495,29456.7095
proc,20,PT2PT,65536,11,1,1.0365,67925.8785
pth_novci_1comm,20,PT2PT,65536,11,1,0.0443,2900.5313
pth_vciopt_Ncomm,20,PT2PT,65536,11,8,0.3777,24750.7065
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,11,1,0.1516,9938.0012
abt_vci_Ncomm_Nes,20,PT2PT,65536,11,8,0.4933,32325.7388
proc,20,PT2PT,65536,12,1,1.0494,68775.5176
pth_novci_1comm,20,PT2PT,65536,12,1,0.0427,2800.1168
pth_vciopt_Ncomm,20,PT2PT,65536,12,8,0.409,26807.1388
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,12,1,0.09,5897.9687
abt_vci_Ncomm_Nes,20,PT2PT,65536,12,8,0.5008,32818.6426
proc,20,PT2PT,65536,13,1,1.2036,78877.4836
pth_novci_1comm,20,PT2PT,65536,13,1,0.0462,3024.7169
pth_vciopt_Ncomm,20,PT2PT,65536,13,8,0.4375,28673.7838
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,13,1,0.0965,6322.6233
abt_vci_Ncomm_Nes,20,PT2PT,65536,13,8,0.5419,35513.7384
proc,20,PT2PT,65536,14,1,1.2697,83214.2007
pth_novci_1comm,20,PT2PT,65536,14,1,0.0465,3049.3996
pth_vciopt_Ncomm,20,PT2PT,65536,14,8,0.4753,31148.3591
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,14,1,0.0913,5985.0254
abt_vci_Ncomm_Nes,20,PT2PT,65536,14,8,0.5664,37118.2422
proc,20,PT2PT,65536,15,1,1.411,92469.2366
pth_novci_1comm,20,PT2PT,65536,15,1,0.0481,3150.6451
pth_vciopt_Ncomm,20,PT2PT,65536,15,8,0.5147,33729.0895
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,15,1,0.0887,5810.1442
abt_vci_Ncomm_Nes,20,PT2PT,65536,15,8,0.6236,40868.1257
proc,20,PT2PT,65536,16,1,1.2862,84294.1208
pth_novci_1comm,20,PT2PT,65536,16,1,0.0476,3118.7451
pth_vciopt_Ncomm,20,PT2PT,65536,16,8,0.4995,32734.2674
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,65536,16,1,0.1507,9878.3346
abt_vci_Ncomm_Nes,20,PT2PT,65536,16,8,0.6507,42644.3216
proc,,PT2PT,1,1,1,4.0375,4.0375
pth_novci_1comm,,PT2PT,1,1,1,2.5425,2.5425
pth_vciopt_Ncomm,20,PT2PT,1,1,12,4.2205,4.2205
pth_vciopt_Ncomm_nolock,20,PT2PT,1,1,12,4.3328,4.3328
abt_vci_1comm_Nes,20,PT2PT,1,1,1,5.2626,5.2626
abt_vci_Ncomm_Nes,20,PT2PT,1,1,12,3.6428,3.6428
